Feature,Importance
user_rating_count,509
movie_rating_count,486
genre_match_score,474
movie_avg_rating,382
movie_rating_std,319
user_rating_std,233
user_avg_rating,231
rating_difference,210
user_pref_Horror,160
user_pref_Action,158
user_pref_Film-Noir,150
movie_popularity,146
user_pref_Mystery,138
user_pref_War,137
user_pref_Adventure,132
user_pref_Sci-Fi,131
user_pref_Drama,128
user_pref_Thriller,127
user_pref_Comedy,126
user_pref_Documentary,116
user_pref_Romance,112
user_pref_Western,100
user_pref_Crime,90
user_pref_Children's,86
user_pref_Fantasy,84
user_pref_Musical,79
user_pref_Animation,77
Drama,41
Action,30
Thriller,26
Documentary,20
Adventure,20
Horror,20
Comedy,19
Romance,17
Western,13
Crime,12
Children's,11
Film-Noir,10
War,8
Mystery,8
Animation,7
Fantasy,7
Musical,7
Sci-Fi,3
