Feature,Importance
movie_popularity,0.6887006
movie_rating_count,0.04357931
user_rating_count,0.036648806
movie_avg_rating,0.012931785
Documentary,0.012507827
genre_match_score,0.01034984
Film-Noir,0.010088747
user_avg_rating,0.008767057
user_pref_Documentary,0.008365309
Action,0.006386118
user_pref_Film-Noir,0.0062463633
Western,0.006013414
Animation,0.005822707
Drama,0.005689361
user_pref_Action,0.0054498524
user_pref_Mystery,0.0052816696
movie_rating_std,0.005004317
rating_difference,0.0049991063
user_pref_Western,0.0049268366
user_rating_std,0.004903593
user_pref_Adventure,0.0048706126
Thriller,0.0048043807
Adventure,0.0047460054
Children's,0.004726459
user_pref_Horror,0.00469418
user_pref_Drama,0.004576155
user_pref_Fantasy,0.004460277
Horror,0.0044474434
user_pref_Sci-Fi,0.0044180756
Comedy,0.004400275
user_pref_Comedy,0.0043712915
Sci-Fi,0.004354511
Crime,0.0043413355
user_pref_Thriller,0.00433485
user_pref_War,0.0043081287
user_pref_Crime,0.0042078854
user_pref_Children's,0.0042006113
user_pref_Animation,0.0041843313
user_pref_Romance,0.004030074
user_pref_Musical,0.004025538
Musical,0.0040059527
Romance,0.003884352
War,0.0038551316
Mystery,0.003740087
Fantasy,0.003349419
